Calibration Report: Qwen3-8B-Q5-K-M
======================================================================
Date: 2026-09-06 02:16
Probe runs: 224  Failures: 37  Intervention runs: 111

ENTROPY DIRECTION
----------------------------------------
  Direction: high=bad
  Basis: permutation p=0.000, separation 0.206
  Separation: 0.206
  Permutation p: 0.0
  Statistical power: signal detected
    Observed effect d=-1.36; this run could detect d>=0.50.
  OK mean max_entropy: 1.6896
  Fail mean max_entropy: 2.129
  Samples: 187 ok, 37 fail

HELD-OUT VALIDATION
----------------------------------------
  Split: 157 train (26 failures) / 67 test (11 failures)
  Selected on train: think_frac (high=good), threshold 0.4281
  Balanced accuracy: train 0.971 -> test 0.809  (chance 0.5)
  Verdict: held up on data it never saw

TASK-LEVEL HOLDOUT (new-task transfer)
----------------------------------------
  Split: 37 failing tasks / 67 tasks held out (11 of them failing)
  Selected on training tasks: think_frac (high=good)
  Balanced accuracy: train 0.949 -> test 0.773  (chance 0.5)
  Verdict: generalized to tasks it never saw
  Transfer of the run's selected signal (think_frac, high=good): mean 0.838 balanced accuracy on unseen tasks over 300 task splits [0.722–0.941], above chance in 100% of draws.

HOW TO USE THIS MODEL'S SIGNAL
----------------------------------------
  224 unique generations, 37 failures. One signal, one curve --
  what changes is where you cut it and what you do with each side.

  CATCH WRONG  (early_vs_rest, chosen in 5/5 folds)
    rule   : regenerate when early_vs_rest <= -0.1324
    catches: 95% of failures
    costs  : 32% of correct work regenerated needlessly

  TRUST RIGHT  (full_ent_std, chosen in 3/5 folds)
    rule   : ship untested when full_ent_std <= 0.4061
    covers : 85% of generations
    purity : 94.9% of those are correct

  BOTH  (full_ent_mean, chosen in 4/5 folds)
    ship untested : full_ent_mean <= 0.2369
                    77% of output, 97.1% correct
    regenerate    : full_ent_mean > 0.2369
                    catches 87% of failures
    still test    : between them, 0% of output

SIGNAL COMBINATION (cross-validated)
----------------------------------------
  5-fold CV, combination rebuilt in every fold
  Label-shuffle null: 40 shuffles, median 0.506, max 0.617
  Beats 40/40 shuffles, empirical p=0.0244 (floor 0.024)
  Failures caught : 76%
  Correct flagged : 5%  (cost of the gate)
  Balanced acc    : 0.856  (chance 0.5)
  Typical size    : 2.4 signals

  Signal stability across folds:
    kl_cent_late_minus_early 4/5 ####
    full_ent_std             4/5 ####
    kl_step_mean             3/5 ###
    full_ent_mean            1/5 #

  Combination to ship (flag a generation if ANY fires):
    full_ent_mean            above  0.3226
    kl_step_mean             below  19.1198
    kl_cent_late_minus_early above  -0.3856

SIGNAL SCAN (all candidates, corrected)
----------------------------------------
  183 signals tested, Benjamini-Hochberg FDR, alpha=0.05
  signal                         d        p    p_adj  usable
  early_vs_rest             +1.709   0.0000   0.0000  YES
  full_ent_early_vs_rest    +1.710   0.0000   0.0000  YES
  full_ent_late_minus_early  -0.911   0.0000   0.0000  YES
  full_ent_max              -1.374   0.0000   0.0000  YES
  full_ent_mean             -1.827   0.0000   0.0000  YES
  full_ent_min              -0.756   0.0000   0.0000  YES
  full_ent_std              -1.697   0.0000   0.0000  YES
  head_entropy              -1.465   0.0000   0.0000  YES
  kl_cent_early_vs_rest     -1.009   0.0000   0.0000  YES
  kl_cent_late_minus_early  -1.193   0.0000   0.0000  YES
  kl_cent_mean              +1.274   0.0000   0.0000  YES
  kl_cent_std               +1.439   0.0000   0.0000  YES
  kl_step_early_vs_rest     -1.722   0.0000   0.0000  YES
  kl_step_late_minus_early  +0.910   0.0000   0.0000  YES
  kl_step_mean              +1.699   0.0000   0.0000  YES
  kl_step_std               -1.421   0.0000   0.0000  YES
  kl_uniform_early_vs_rest  -1.709   0.0000   0.0000  YES
  kl_uniform_late_minus_early  +0.906   0.0000   0.0000  YES
  kl_uniform_max            +0.781   0.0000   0.0000  YES
  kl_uniform_mean           +1.826   0.0000   0.0000  YES
  kl_uniform_min            +1.363   0.0000   0.0000  YES
  kl_uniform_std            -1.695   0.0000   0.0000  YES
  late_vs_early_half        -0.906   0.0000   0.0000  YES
  margin_early_vs_rest      -1.402   0.0000   0.0000  YES
  margin_mean               +1.780   0.0000   0.0000  YES
  margin_std                -1.577   0.0000   0.0000  YES
  mass1_early_vs_rest       -1.545   0.0000   0.0000  YES
  mass1_late_minus_early    +0.813   0.0000   0.0000  YES
  mass1_max                 +0.800   0.0000   0.0000  YES
  mass1_mean                +1.806   0.0000   0.0000  YES
  mass1_min                 +1.290   0.0000   0.0000  YES
  mass1_std                 -1.646   0.0000   0.0000  YES
  mass20_early_vs_rest      -1.742   0.0000   0.0000  YES
  mass20_late_minus_early   +1.455   0.0000   0.0000  YES
  mass20_mean               +1.742   0.0000   0.0000  YES
  mass20_min                +1.356   0.0000   0.0000  YES
  mass20_std                -1.505   0.0000   0.0000  YES
  mass5_early_vs_rest       -1.978   0.0000   0.0000  YES
  mass5_late_minus_early    +1.664   0.0000   0.0000  YES
  mass5_mean                +1.979   0.0000   0.0000  YES
  mass5_min                 +1.499   0.0000   0.0000  YES
  mass5_std                 -1.829   0.0000   0.0000  YES
  max_entropy               -1.363   0.0000   0.0000  YES
  mean_entropy              -1.826   0.0000   0.0000  YES
  mono_down_frac            +0.830   0.0000   0.0000  YES
  n_semantic                -1.674   0.0000   0.0000  YES
  n_spikes                  +0.792   0.0000   0.0000  YES
  n_tokens                  -1.674   0.0000   0.0000  YES
  phi_mean                  +1.806   0.0000   0.0000  YES
  q1                        -1.465   0.0000   0.0000  YES
  q2                        -1.649   0.0000   0.0000  YES
  q3                        -1.644   0.0000   0.0000  YES
  q4                        -1.939   0.0000   0.0000  YES
  q_early_drop              +1.148   0.0000   0.0000  YES
  q_range                   -1.228   0.0000   0.0000  YES
  q_slope                   -1.373   0.0000   0.0000  YES
  rank_early_vs_rest        +0.825   0.0000   0.0000  YES
  rank_late_minus_early     -0.898   0.0000   0.0000  YES
  rank_max                  -1.419   0.0000   0.0000  YES
  rank_mean                 -1.809   0.0000   0.0000  YES
  rank_std                  -1.707   0.0000   0.0000  YES
  spike_height              +0.867   0.0000   0.0000  YES
  spike_token_idx           -1.512   0.0000   0.0000  YES
  surprisal_early_vs_rest   +1.387   0.0000   0.0000  YES
  surprisal_late_minus_early  -0.870   0.0000   0.0000  YES
  surprisal_max             -1.174   0.0000   0.0000  YES
  surprisal_mean            -1.814   0.0000   0.0000  YES
  surprisal_std             -1.648   0.0000   0.0000  YES
  tail_entropy              -1.941   0.0000   0.0000  YES
  tail_mass_early_vs_rest   +1.742   0.0000   0.0000  YES
  tail_mass_late_minus_early  -1.455   0.0000   0.0000  YES
  tail_mass_max             -1.356   0.0000   0.0000  YES
  tail_mass_mean            -1.742   0.0000   0.0000  YES
  tail_mass_std             -1.505   0.0000   0.0000  YES
  think_boundary            +0.781   0.0000   0.0000  YES
  think_ent_mean            -1.479   0.0000   0.0000  YES
  think_ent_std             -1.317   0.0000   0.0000  YES
  think_frac                +2.072   0.0000   0.0000  YES
  think_full_ent_mean       -1.479   0.0000   0.0000  YES
  think_full_ent_std        -1.318   0.0000   0.0000  YES
